,2013,2014,2015,2016,2017
Amortization of Intangibles,79M,94M,81M,72M,74M
Basic Shares Outstanding,152M,145M,144M,140M,137M
COGS Growth,-,7.31%,-0.17%,-0.53%,2.04%
COGS excluding D&A,4.08B,4.37B,4.37B,4.4B,4.47B
Consolidated Net Income,845M,585M,750M,693M,821M
Cost of Goods Sold (COGS) incl. D&A,4.36B,4.68B,4.67B,4.65B,4.74B
Cumulative Effect - Accounting Chg,-,-,-,-,-
Depreciation,204M,220M,223M,177M,196M
Depreciation & Amortization Expense,283M,314M,304M,249M,270M
Diluted Shares Outstanding,153M,145M,145M,142M,140M
Discontinued Operations,35M,5M,-,-,-
EBIT after Unusual Expense,1.04B,(145M),916M,1.1B,1.17B
EBITDA,1.44B,1.43B,1.51B,1.48B,1.55B
EBITDA Growth,-,-0.14%,5.23%,-1.99%,5.07%
EBITDA Margin,-,-,-,-,20.15%
EPS (Basic),5.57,3.82,4.90,4.59,5.61
EPS (Basic) Growth,-,-31.35%,28.32%,-6.47%,22.40%
EPS (Diluted),5.54,3.82,4.87,4.52,5.49
EPS (Diluted) Growth,-,-31.03%,27.46%,-7.16%,21.49%
Equity in Affiliates,-,26M,23M,39M,35M
Equity in Affiliates (Pretax),24M,-,-,3M,8M
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Extraordinaries & Discontinued Operations,35M,5M,-,-,-
Gross Income,2.78B,2.75B,2.82B,2.87B,2.97B
Gross Income Growth,-,-1.08%,2.40%,1.67%,3.45%
Gross Interest Expense,162M,167M,148M,144M,153M
Gross Profit Margin,-,-,-,-,38.47%
Income Tax,500M,262M,373M,429M,241M
Income Tax - Current Domestic,476M,238M,258M,391M,231M
Income Tax - Current Foreign,4M,3M,3M,1M,1M
Income Tax - Deferred Domestic,21M,22M,111M,37M,7M
Income Tax - Deferred Foreign,(1M),(1M),1M,-,2M
Income Tax Credits,-,-,-,-,-
Interest Capitalized,-,-,-,-,-
Interest Expense,162M,167M,148M,144M,153M
Interest Expense Growth,-,3.09%,-11.38%,-2.70%,6.25%
Minority Interest Expense,34M,36M,44M,51M,52M
Net Income,811M,549M,706M,642M,769M
Net Income After Extraordinaries,846M,554M,706M,642M,769M
Net Income Available to Common,846M,554M,706M,642M,769M
Net Income Growth,-,-32.31%,28.60%,-9.07%,19.78%
Net Margin Growth,-,-,-,-,9.98%
Non Operating Income/Expense,446M,13M,334M,130M,7M
Non-Operating Interest Income,3M,3M,1M,1M,2M
Other After Tax Income (Expense),(3M),(2M),(3M),(3M),(3M)
Other Operating Expense,-,-,-,-,-
Other SG&A,1.63B,1.64B,1.62B,1.64B,1.68B
Preferred Dividends,-,-,-,-,-
Pretax Income,1.35B,823M,1.1B,1.09B,1.03B
Pretax Income Growth,-,-38.95%,34.02%,-1.54%,-5.16%
Pretax Margin,-,-,-,-,13.36%
Research & Development,-,-,-,-,-
SG&A Expense,1.63B,1.64B,1.62B,1.64B,1.68B
SGA Growth,-,0.18%,-1.16%,1.36%,2.75%
Sales Growth,-,4.04%,0.78%,0.29%,2.58%
Sales/Revenue,7.15B,7.44B,7.49B,7.52B,7.71B
Unusual Expense,115M,145M,288M,133M,117M
